transfer_id,player_id,player_name,club_from_id,club_from_name,club_to_id,club_to_name,transfer_date,season,market_value_at_transfer,transfer_fee
5912733,315858,Gianluigi Donnarumma,583,PSG,281,Man City,2025-01-09,25/26,40000000.0,30000000.0
3440409,315858,Gianluigi Donnarumma,5,AC Milan,583,PSG,2021-07-14,21/22,60000000.0,0.0
1317674,315858,Gianluigi Donnarumma,10958,Milan U19,5,AC Milan,2015-01-07,15/16,500000.0,0.0
1200422,315858,Gianluigi Donnarumma,25828,AC Milan Youth,10958,Milan U19,2014-01-07,14/15,0.0,0.0
1631972,315858,Gianluigi Donnarumma,59178,Castellammare,25828,AC Milan Youth,2013-01-07,13/14,0.0,250000.0
5821343,566799,James Trafford,1132,Burnley,281,Man City,2025-07-29,25/26,22000000.0,31200000.0
4520228,566799,James Trafford,281,Man City,1132,Burnley,2023-07-20,23/24,15000000.0,17300000.0
5539932,566799,James Trafford,9265,Man City U21,281,Man City,2023-01-07,23/24,2500000.0,0.0
3694650,566799,James Trafford,355,Bolton,9265,Man City U21,2023-05-31,22/23,2500000.0,0.0
3694649,566799,James Trafford,9265,Man City U23,355,Bolton,2022-01-13,21/22,0.0,0.0
3418193,566799,James Trafford,3688,Accrington,9265,Man City U23,2022-12-01,21/22,0.0,0.0
3418192,566799,James Trafford,9265,Man City U23,3688,Accrington,2021-01-07,21/22,0.0,0.0
3074640,566799,James Trafford,6930,Man City U18,9265,Man City U23,2020-01-07,20/21,0.0,0.0
2569655,566799,James Trafford,50678,Man City Youth,6930,Man City U18,2019-01-07,19/20,0.0,0.0
5697918,116648,Marcus Bettinelli,631,Chelsea,281,Man City,2025-10-06,25/26,600000.0,2400000.0
3466155,116648,Marcus Bettinelli,931,Fulham,631,Chelsea,2021-07-28,21/22,2500000.0,0.0
3054803,116648,Marcus Bettinelli,641,Middlesbrough,931,Fulham,2021-05-31,20/21,2500000.0,0.0
3054802,116648,Marcus Bettinelli,931,Fulham,641,Middlesbrough,2020-10-09,20/21,1600000.0,0.0
993584,116648,Marcus Bettinelli,3688,Accrington,931,Fulham,2014-05-31,13/14,0.0,0.0
939690,116648,Marcus Bettinelli,931,Fulham,3688,Accrington,2013-08-28,13/14,0.0,0.0
771396,116648,Marcus Bettinelli,4074,Dartford,931,Fulham,2013-03-23,12/13,0.0,0.0
771395,116648,Marcus Bettinelli,931,Fulham,4074,Dartford,2012-08-20,12/13,0.0,0.0
2010151,116648,Marcus Bettinelli,9262,Fulham FC U21,931,Fulham,2012-01-07,12/13,0.0,0.0
593461,116648,Marcus Bettinelli,6942,Fulham U18,9262,Fulham Res.,2011-01-01,10/11,0.0,0.0
6130397,392757,Marc Guéhi,873,Crystal Palace,281,Man City,2026-01-19,25/26,55000000.0,23000000.0
3448129,392757,Marc Guéhi,631,Chelsea,873,Crystal Palace,2021-07-18,21/22,10000000.0,23340000.0
3031964,392757,Marc Guéhi,2288,Swansea,631,Chelsea,2021-05-31,20/21,6000000.0,0.0
3031963,392757,Marc Guéhi,631,Chelsea,2288,Swansea,2020-08-26,20/21,2700000.0,0.0
2752705,392757,Marc Guéhi,2288,Swansea,631,Chelsea,2020-07-31,19/20,2700000.0,0.0
2752704,392757,Marc Guéhi,631,Chelsea,2288,Swansea,2020-10-01,19/20,1500000.0,0.0
4385926,392757,Marc Guéhi,9250,Chelsea U23,631,Chelsea,2020-01-01,19/20,1500000.0,0.0
2160126,392757,Marc Guéhi,6918,Chelsea U18,9250,Chelsea U23,2018-01-07,18/19,0.0,0.0
1519350,392757,Marc Guéhi,50677,Chelsea Youth,6918,Chelsea U18,2016-01-07,16/17,0.0,0.0
4560673,475959,Josko Gvardiol,23826,Leipzig,281,Man City,2023-05-08,23/24,75000000.0,90000000.0
3079879,475959,Josko Gvardiol,419,Dinamo Zagreb,23826,Leipzig,2021-01-07,21/22,19000000.0,36800000.0
2617273,475959,Josko Gvardiol,9641,Din. Zagreb U19,419,Dinamo Zagreb,2019-01-07,19/20,0.0,0.0
2449146,475959,Josko Gvardiol,36342,Din. Zagreb U17,9641,Din. Zagreb U19,2019-01-26,18/19,0.0,0.0
1919039,475959,Josko Gvardiol,36341,D. Zagreb Yth.,36342,Din. Zagreb U17,2017-01-07,17/18,0.0,0.0
1752400,475959,Josko Gvardiol,25246,NK Tresnjevka,36341,D. Zagreb Yth.,2010-03-09,10/11,0.0,0.0
3081858,258004,Rúben Dias,294,Benfica,281,Man City,2020-09-29,20/21,35000000.0,71600000.0
1923783,258004,Rúben Dias,10330,Benfica B,294,Benfica,2017-01-07,17/18,1000000.0,0.0
1274931,258004,Rúben Dias,8889,Benfica U19,10330,Benfica B,2015-01-07,15/16,0.0,0.0
1163828,258004,Rúben Dias,45618,Benfica U17,8889,Benfica U19,2014-01-07,14/15,0.0,0.0
1679715,258004,Rúben Dias,53954,Benfica U15,45618,Benfica U17,2012-01-07,12/13,0.0,0.0
1679716,258004,Rúben Dias,53955,Benfica Yth,53954,Benfica U15,2010-01-07,10/11,0.0,0.0
3548463,258004,Rúben Dias,92856,Estrela A. F,53955,Benfica Yth,2008-01-07,08/09,0.0,0.0
5468101,763079,Abdukodir Khusanov,826,Lens,281,Man City,2025-01-20,24/25,12000000.0,40000000.0
4529024,763079,Abdukodir Khusanov,27204,Energetik-BGU,826,Lens,2023-07-24,23/24,400000.0,450000.0
3786406,763079,Abdukodir Khusanov,85976,Bunyodkor U18,27204,Energetik-BGU,2022-03-17,21/22,0.0,800000.0
5845449,1005575,Vitor Reis,12321,Girona,281,Man City,2026-06-30,25/26,30000000.0,0.0
5845448,1005575,Vitor Reis,281,Man City,12321,Girona,2025-08-08,25/26,30000000.0,0.0
5470373,1005575,Vitor Reis,1023,Palmeiras,281,Man City,2025-01-21,24/25,14000000.0,37000000.0
5115590,1005575,Vitor Reis,14807,Palmeiras U20,1023,Palmeiras,2024-01-06,23/24,0.0,0.0
4789074,1005575,Vitor Reis,14880,Palmeiras U17,14807,Palmeiras U20,2024-01-01,23/24,0.0,0.0
3002838,177476,Nathan Aké,989,Bournemouth,281,Man City,2020-05-08,20/21,28000000.0,45300000.0
1815473,177476,Nathan Aké,631,Chelsea,989,Bournemouth,2017-01-07,17/18,8000000.0,22800000.0
1517941,177476,Nathan Aké,989,Bournemouth,631,Chelsea,2017-08-01,16/17,5000000.0,0.0
1517940,177476,Nathan Aké,631,Chelsea,989,Bournemouth,2016-01-07,16/17,4500000.0,0.0
1319494,177476,Nathan Aké,1010,Watford,631,Chelsea,2016-05-31,15/16,4500000.0,0.0
1319493,177476,Nathan Aké,631,Chelsea,1010,Watford,2015-08-14,15/16,2000000.0,0.0
1218997,177476,Nathan Aké,1032,Reading,631,Chelsea,2015-04-22,14/15,1500000.0,0.0
1218996,177476,Nathan Aké,631,Chelsea,1032,Reading,2015-03-25,14/15,1500000.0,0.0
802929,177476,Nathan Aké,6918,Chelsea U18,631,Chelsea,2013-01-01,12/13,0.0,0.0
619777,177476,Nathan Aké,51654,Feyenoord U17,6918,Chelsea U18,2011-01-07,11/12,0.0,800000.0
1815670,177476,Nathan Aké,32798,Feyenoord Youth,51654,Feyenoord U17,2010-01-07,10/11,0.0,0.0
1427878,177476,Nathan Aké,32790,ADO Youth,32798,Feyenoord Youth,2007-01-07,07/08,0.0,0.0
5729380,1121298,Juma Bah,417,Nice,281,Man City,2026-06-30,25/26,10000000.0,0.0
5729379,1121298,Juma Bah,281,Man City,417,Nice,2025-01-07,25/26,6000000.0,0.0
5483612,1121298,Juma Bah,826,Lens,281,Man City,2025-06-30,24/25,6000000.0,0.0
5483611,1121298,Juma Bah,281,Man City,826,Lens,2025-01-28,24/25,1000000.0,0.0
5483610,1121298,Juma Bah,366,Real Valladolid,281,Man City,2025-01-27,24/25,1000000.0,6000000.0
5473221,1121298,Juma Bah,82801,AIK Freetong,366,Real Valladolid,2025-01-01,24/25,1000000.0,125000.0
5226139,1121298,Juma Bah,366,Real Valladolid,82801,AIK Freetong,2024-12-31,24/25,1000000.0,0.0
5226138,1121298,Juma Bah,82801,AIK Freetong,366,Real Valladolid,2024-08-26,24/25,0.0,0.0
5226140,1121298,Juma Bah,115801,SLIFA,82801,AIK Freetong,2023-01-07,23/24,0.0,0.0
5093912,262749,David Raya,1148,Brentford,11,Arsenal,2024-04-07,24/25,35000000.0,31900000.0
4584850,262749,David Raya,11,Arsenal,1148,Brentford,2024-06-30,23/24,35000000.0,0.0
4584849,262749,David Raya,1148,Brentford,11,Arsenal,2023-08-15,23/24,30000000.0,3500000.0
2541132,262749,David Raya,164,Blackburn,1148,Brentford,2019-06-07,19/20,1500000.0,3350000.0
1133291,262749,David Raya,9829,Southport,164,Blackburn,2015-05-01,14/15,0.0,0.0
1133290,262749,David Raya,164,Blackburn,9829,Southport,2014-09-19,14/15,0.0,0.0
956843,262749,David Raya,6949,Blackburn U18,164,Blackburn,2013-01-07,13/14,0.0,0.0
3092970,262749,David Raya,44771,Cornellà Youth,6949,Blackburn U18,2012-01-07,12/13,0.0,0.0
5741708,192279,Kepa Arrizabalaga,631,Chelsea,11,Arsenal,2025-01-07,25/26,10000000.0,5800000.0
5233430,192279,Kepa Arrizabalaga,989,Bournemouth,631,Chelsea,2025-06-30,24/25,10000000.0,0.0
5233429,192279,Kepa Arrizabalaga,631,Chelsea,989,Bournemouth,2024-08-29,24/25,12000000.0,3600000.0
4582540,192279,Kepa Arrizabalaga,418,Real Madrid,631,Chelsea,2024-06-30,23/24,12000000.0,0.0
4582539,192279,Kepa Arrizabalaga,631,Chelsea,418,Real Madrid,2023-08-14,23/24,18000000.0,1000000.0
2216578,192279,Kepa Arrizabalaga,621,Athletic Club,631,Chelsea,2018-08-08,18/19,20000000.0,80000000.0
1280994,192279,Kepa Arrizabalaga,366,Real Valladolid,621,Athletic Club,2016-06-30,15/16,1500000.0,0.0
1280993,192279,Kepa Arrizabalaga,621,Athletic Club,366,Real Valladolid,2015-07-20,15/16,1000000.0,0.0
1167881,192279,Kepa Arrizabalaga,4032,Ponferradina,621,Athletic Club,2015-06-30,14/15,1000000.0,0.0
1167880,192279,Kepa Arrizabalaga,621,Athletic Club,4032,Ponferradina,2015-05-01,14/15,1000000.0,0.0
1089019,192279,Kepa Arrizabalaga,6688,Bilbao Athletic,621,Athletic Club,2014-01-07,14/15,500000.0,0.0
843166,192279,Kepa Arrizabalaga,6665,CD Basconia,6688,Bilbao Athletic,2013-01-31,12/13,500000.0,0.0
697168,192279,Kepa Arrizabalaga,28860,Bilbao U19,6665,CD Basconia,2012-01-01,11/12,0.0,0.0
4330272,192279,Kepa Arrizabalaga,107198,Bilbao U18,28860,Bilbao U19,2011-01-01,10/11,0.0,0.0
4330273,192279,Kepa Arrizabalaga,14733,Bilbao Youth,107198,Bilbao U18,2010-01-07,10/11,0.0,0.0
3442745,495666,William Saliba,244,Marseille,11,Arsenal,2022-06-30,21/22,30000000.0,0.0
3442744,495666,William Saliba,11,Arsenal,244,Marseille,2021-07-15,21/22,18000000.0,0.0
3190561,495666,William Saliba,417,Nice,11,Arsenal,2021-06-30,20/21,18000000.0,0.0
3190560,495666,William Saliba,11,Arsenal,417,Nice,2021-04-01,20/21,17000000.0,0.0
2574515,495666,William Saliba,618,Saint-Étienne,11,Arsenal,2020-06-30,19/20,22500000.0,0.0
2574514,495666,William Saliba,11,Arsenal,618,Saint-Étienne,2019-07-26,19/20,12000000.0,0.0
2574513,495666,William Saliba,618,Saint-Étienne,11,Arsenal,2019-07-25,19/20,12000000.0,30000000.0
2222746,495666,William Saliba,8515,Saint-Étienne B,618,Saint-Étienne,2018-01-07,18/19,0.0,0.0
5025957,495666,William Saliba,12745,St-Étienne U19,8515,Saint-Étienne B,2018-11-05,17/18,0.0,0.0
2574939,495666,William Saliba,60860,St-Étienne U17,12745,St-Étienne U19,2017-01-07,17/18,0.0,0.0
2574938,495666,William Saliba,110097,Montfermeil Jgd,60860,St-Étienne U17,2016-01-07,16/17,0.0,0.0
2574937,495666,William Saliba,83011,AS Bondy Yth.,110097,Montfermeil Jgd,2014-01-07,14/15,0.0,0.0
3040482,435338,Gabriel,1082,Lille,11,Arsenal,2020-01-09,20/21,20000000.0,26000000.0
2037482,435338,Gabriel,44796,Din. Zagreb II,1082,Lille,2018-06-30,17/18,600000.0,0.0
2037483,435338,Gabriel,1082,Lille,44796,Din. Zagreb II,2018-02-15,17/18,600000.0,0.0
1812665,435338,Gabriel,1095,Troyes,1082,Lille,2018-02-14,17/18,600000.0,0.0
1812664,435338,Gabriel,1082,Lille,1095,Troyes,2017-01-07,17/18,600000.0,0.0
1691219,435338,Gabriel,2035,Avaí FC,1082,Lille,2017-01-31,16/17,350000.0,3000000.0
1596134,435338,Gabriel,17661,Avaí U20,2035,Avaí FC,2016-01-01,15/16,0.0,0.0
5911394,659813,Piero Hincapié,15,Leverkusen,11,Arsenal,2026-01-07,26/27,50000000.0,52000000.0
5911362,659813,Piero Hincapié,11,Arsenal,15,Leverkusen,2026-06-30,25/26,50000000.0,0.0
5911361,659813,Piero Hincapié,15,Leverkusen,11,Arsenal,2025-01-09,25/26,50000000.0,0.0
3501661,659813,Piero Hincapié,3938,CA Talleres,15,Leverkusen,2021-08-16,21/22,8000000.0,6350000.0
3022454,659813,Piero Hincapié,19309,Independiente,3938,CA Talleres,2020-08-20,20/21,600000.0,3550000.0
2910568,659813,Piero Hincapié,39950,Independiente B,19309,Independiente,2020-01-01,19/20,100000.0,0.0
2430811,659813,Piero Hincapié,39908,IDV U20,39950,Independiente B,2019-01-01,18/19,0.0,0.0
5807885,646750,Cristhian Mosquera,1049,Valencia,11,Arsenal,2025-07-24,25/26,30000000.0,15000000.0
4437779,646750,Cristhian Mosquera,6182,Valencia B,1049,Valencia,2023-01-01,22/23,1000000.0,0.0
4053566,646750,Cristhian Mosquera,10200,Valencia U19,6182,Valencia B,2022-01-07,22/23,1000000.0,0.0
3128924,646750,Cristhian Mosquera,70397,Valencia U18,10200,Valencia U19,2020-01-07,20/21,0.0,0.0
3577576,646750,Cristhian Mosquera,16200,Valencia CF You,70397,Valencia U18,2019-01-07,19/20,0.0,0.0
5943947,646750,Cristhian Mosquera,44098,Hércules Alican,16200,Valencia CF You,2016-01-07,16/17,0.0,0.0
5155536,502821,Riccardo Calafiori,1025,Bologna,11,Arsenal,2024-07-29,24/25,45000000.0,43700000.0
4620117,502821,Riccardo Calafiori,26,Basel,1025,Bologna,2023-08-31,23/24,4500000.0,23850000.0
4048573,502821,Riccardo Calafiori,12,Roma,26,Basel,2022-08-31,22/23,3500000.0,10540000.0
3695410,502821,Riccardo Calafiori,252,Genoa,12,Roma,2022-06-30,21/22,3500000.0,0.0
3695409,502821,Riccardo Calafiori,12,Roma,252,Genoa,2022-01-14,21/22,4000000.0,0.0
3096987,502821,Riccardo Calafiori,11997,Roma U19,12,Roma,2020-01-09,20/21,0.0,0.0
2246914,502821,Riccardo Calafiori,49576,Roma U17,11997,Roma U19,2018-01-07,18/19,0.0,0.0
1909096,502821,Riccardo Calafiori,25545,AS Rom Youth,49576,Roma U17,2017-01-07,17/18,0.0,0.0
4503314,420243,Jurriën Timber,610,Ajax,11,Arsenal,2023-07-14,23/24,42000000.0,40000000.0
3067480,420243,Jurriën Timber,8817,Ajax U21,610,Ajax,2020-09-18,20/21,2000000.0,0.0
2366912,420243,Jurriën Timber,2824,Ajax U19,8817,Ajax U21,2019-01-01,18/19,0.0,0.0
2025852,420243,Jurriën Timber,51645,Ajax U17,2824,Ajax U19,2018-01-07,18/19,0.0,0.0
1603931,420243,Jurriën Timber,32791,Ajax Youth ,51645,Ajax U17,2016-01-07,16/17,0.0,0.0
1427875,420243,Jurriën Timber,32798,Feyenoord Youth,32791,Ajax Youth ,2014-01-07,14/15,0.0,0.0
3469581,335721,Ben White,1237,Brighton,11,Arsenal,2021-07-30,21/22,28000000.0,58500000.0
2531906,335721,Ben White,399,Leeds,1237,Brighton,2020-07-31,19/20,5500000.0,0.0
2531905,335721,Ben White,1237,Brighton,399,Leeds,2019-01-07,19/20,0.0,0.0
2356714,335721,Ben White,1072,Peterborough,1237,Brighton,2019-05-31,18/19,0.0,0.0
2356713,335721,Ben White,1237,Brighton,1072,Peterborough,2019-03-01,18/19,0.0,0.0
2992817,335721,Ben White,39336,Brighton U23,1237,Brighton,2018-01-07,18/19,0.0,0.0
1863378,335721,Ben White,3716,Newport County,39336,Brighton U23,2018-05-31,17/18,0.0,0.0
1863377,335721,Ben White,39336,Brighton U23,3716,Newport County,2017-01-08,17/18,0.0,0.0
1350939,335721,Ben White,9606,Brighton U18,39336,Brighton U21,2015-01-01,14/15,0.0,0.0
3008669,335721,Ben White,50780,Southampton Aca,9606,Brighton U18,2014-01-07,14/15,0.0,0.0
5754878,423440,Martín Zubimendi,681,Real Sociedad,11,Arsenal,2025-06-07,25/26,60000000.0,70000000.0
2984895,423440,Martín Zubimendi,9899,Real Sociedad B,681,Real Sociedad,2020-10-09,20/21,250000.0,0.0
2249087,423440,Martín Zubimendi,44822,Real Sociedad C,9899,Real Sociedad B,2018-01-07,18/19,0.0,0.0
1815717,423440,Martín Zubimendi,9900,R. Sociedad U19,44822,Real Sociedad C,2017-01-07,17/18,0.0,0.0
1591523,423440,Martín Zubimendi,14967,Real Sociedad Y,9900,R. Sociedad U19,2016-01-07,16/17,0.0,0.0
5943949,423440,Martín Zubimendi,70389,Antiguoko Yth,14967,Real Sociedad Y,2011-01-07,11/12,0.0,0.0
5816644,834397,Mike Penders,667,R. Strasbourg,631,Chelsea,2026-06-30,25/26,25000000.0,0.0
5816643,834397,Mike Penders,631,Chelsea,667,R. Strasbourg,2025-07-28,25/26,12000000.0,0.0
5228370,834397,Mike Penders,1184,Genk,631,Chelsea,2025-01-06,24/25,10000000.0,0.0
5228369,834397,Mike Penders,631,Chelsea,1184,Genk,2024-08-28,24/25,1000000.0,0.0
5228368,834397,Mike Penders,1184,Genk,631,Chelsea,2024-08-27,24/25,1000000.0,20000000.0
4541583,834397,Mike Penders,46736,Jong Genk,1184,Genk,2023-01-07,23/24,150000.0,0.0
3861578,834397,Mike Penders,66531,KRC Genk U18,46736,Jong Genk,2022-01-07,22/23,0.0,0.0
3350323,834397,Mike Penders,34282,KRC Genk Youth,66531,KRC Genk U18,2021-01-07,21/22,0.0,0.0
4560623,403151,Robert Sánchez,1237,Brighton,631,Chelsea,2023-05-08,23/24,22000000.0,23000000.0
2811930,403151,Robert Sánchez,39336,Brighton U23,1237,Brighton,2020-01-07,20/21,0.0,0.0
2573066,403151,Robert Sánchez,1088,Rochdale,39336,Brighton U23,2020-05-31,19/20,0.0,0.0
2573065,403151,Robert Sánchez,39336,Brighton U23,1088,Rochdale,2019-07-24,19/20,0.0,0.0
2134846,403151,Robert Sánchez,3455,Forest Green,39336,Brighton U23,2019-04-01,18/19,0.0,0.0
2134845,403151,Robert Sánchez,39336,Brighton U23,3455,Forest Green,2018-01-07,18/19,0.0,0.0
1456283,403151,Robert Sánchez,9606,Brighton U18,39336,Brighton U23,2016-01-07,16/17,0.0,0.0
3125324,403151,Robert Sánchez,25264,Levante UD Yout,9606,Brighton U18,2013-01-07,13/14,0.0,0.0
3125323,403151,Robert Sánchez,50048,Cartagena FC,25264,Levante UD Yout,2010-01-07,10/11,0.0,0.0
5159419,585323,Filip Jørgensen,1050,Villarreal,631,Chelsea,2024-07-30,24/25,20000000.0,24500000.0
4207491,585323,Filip Jørgensen,11972,Villarreal CF B,1050,Villarreal,2023-05-01,22/23,1500000.0,0.0
3083950,585323,Filip Jørgensen,12853,FC Villarreal C,11972,Villarreal CF B,2020-01-09,20/21,0.0,0.0
3082681,585323,Filip Jørgensen,28868,Villarreal U19,12853,FC Villarreal C,2020-01-07,20/21,0.0,0.0
2656300,585323,Filip Jørgensen,14740,Villarreal Yth.,28868,Villarreal U19,2019-01-07,19/20,0.0,0.0
3083949,585323,Filip Jørgensen,25625,RCD Mallorca Yo,14740,Villarreal Yth.,2015-01-07,15/16,0.0,0.0
3083948,585323,Filip Jørgensen,70375,P. Arrabal Yth.,25625,RCD Mallorca Yo,2014-01-08,14/15,0.0,0.0
3083947,585323,Filip Jørgensen,102513,Malmö FF Jgd.,70375,P. Arrabal Yth.,2014-08-01,13/14,0.0,0.0
5420359,656316,Gabriel Slonina,349,Barnsley,631,Chelsea,2024-12-31,24/25,4000000.0,0.0
5184920,656316,Gabriel Slonina,631,Chelsea,349,Barnsley,2024-09-08,24/25,4000000.0,0.0
4574122,656316,Gabriel Slonina,1245,KAS Eupen,631,Chelsea,2024-06-30,23/24,4000000.0,0.0
4574121,656316,Gabriel Slonina,631,Chelsea,1245,KAS Eupen,2023-10-08,23/24,9000000.0,0.0
3988120,656316,Gabriel Slonina,432,Chicago,631,Chelsea,2022-12-31,22/23,8000000.0,0.0
3988119,656316,Gabriel Slonina,631,Chelsea,432,Chicago,2022-03-08,22/23,3000000.0,0.0
3988118,656316,Gabriel Slonina,432,Chicago,631,Chelsea,2022-02-08,22/23,3000000.0,9090000.0
2419390,656316,Gabriel Slonina,38650,Fire Academy,432,Chicago,2019-08-03,18/19,0.0,0.0
6173039,731466,Teddy Sharman-Lowe,9250,Chelsea U21,631,Chelsea,2026-01-19,25/26,550000.0,0.0
5716672,731466,Teddy Sharman-Lowe,355,Bolton,9250,Chelsea U21,2026-01-14,25/26,550000.0,0.0
5716671,731466,Teddy Sharman-Lowe,9250,Chelsea U21,355,Bolton,2025-01-07,25/26,500000.0,0.0
5054798,731466,Teddy Sharman-Lowe,2454,Doncaster,9250,Chelsea U21,2025-06-30,24/25,500000.0,0.0
5054797,731466,Teddy Sharman-Lowe,9250,Chelsea U21,2454,Doncaster,2024-01-07,24/25,300000.0,0.0
4494117,731466,Teddy Sharman-Lowe,8981,Bromley,9250,Chelsea U21,2024-01-22,23/24,300000.0,0.0
4494116,731466,Teddy Sharman-Lowe,9250,Chelsea U21,8981,Bromley,2023-10-07,23/24,300000.0,0.0
4222984,731466,Teddy Sharman-Lowe,2794,Havant & Water.,9250,Chelsea U21,2023-05-31,22/23,300000.0,0.0
4222983,731466,Teddy Sharman-Lowe,9250,Chelsea U21,2794,Havant & Water.,2023-01-13,22/23,0.0,0.0
3048337,731466,Teddy Sharman-Lowe,2963,Burton Albion,9250,Chelsea U23,2021-04-01,20/21,0.0,0.0
3048336,731466,Teddy Sharman-Lowe,9250,Chelsea U23,2963,Burton Albion,2020-06-09,20/21,0.0,0.0
3047449,731466,Teddy Sharman-Lowe,22645,Burton U18,9250,Chelsea U23,2020-05-09,20/21,0.0,0.0
3994331,614258,Levi Colwill,1237,Brighton,631,Chelsea,2023-05-31,22/23,16000000.0,0.0
3994246,614258,Levi Colwill,631,Chelsea,1237,Brighton,2022-05-08,22/23,5000000.0,0.0
4380406,614258,Levi Colwill,9250,Chelsea U21,631,Chelsea,2022-01-07,22/23,5000000.0,0.0
3409820,614258,Levi Colwill,1110,Huddersfield,9250,Chelsea U23,2022-05-31,21/22,5000000.0,0.0
3409819,614258,Levi Colwill,9250,Chelsea U23,1110,Huddersfield,2021-01-07,21/22,0.0,0.0
3105060,614258,Levi Colwill,6918,Chelsea U18,9250,Chelsea U23,2020-01-07,20/21,0.0,0.0
2534059,614258,Levi Colwill,50677,Chelsea Youth,6918,Chelsea U18,2019-01-07,19/20,0.0,0.0
5239393,346314,Trevoh Chalobah,873,Crystal Palace,631,Chelsea,2025-01-15,24/25,13000000.0,0.0
5239392,346314,Trevoh Chalobah,631,Chelsea,873,Crystal Palace,2024-08-30,24/25,13000000.0,0.0
3498551,346314,Trevoh Chalobah,9250,Chelsea U23,631,Chelsea,2021-01-07,21/22,3500000.0,0.0
3018676,346314,Trevoh Chalobah,1158,FC Lorient,9250,Chelsea U23,2021-06-30,20/21,3500000.0,0.0
3018675,346314,Trevoh Chalobah,9250,Chelsea U23,1158,FC Lorient,2020-08-18,20/21,2700000.0,0.0
2597045,346314,Trevoh Chalobah,1110,Huddersfield,9250,Chelsea U23,2020-07-31,19/20,2700000.0,0.0
2597043,346314,Trevoh Chalobah,9250,Chelsea U23,1110,Huddersfield,2019-08-08,19/20,3000000.0,0.0
2147812,346314,Trevoh Chalobah,677,Ipswich,9250,Chelsea U23,2019-05-31,18/19,1000000.0,0.0
2147811,346314,Trevoh Chalobah,9250,Chelsea U23,677,Ipswich,2018-01-07,18/19,0.0,0.0
1608818,346314,Trevoh Chalobah,6918,Chelsea U18,9250,Chelsea U23,2016-01-07,16/17,0.0,0.0
1375509,346314,Trevoh Chalobah,50677,Chelsea Youth,6918,Chelsea U18,2015-01-07,15/16,0.0,0.0
4048054,475411,Wesley Fofana,1003,Leicester,631,Chelsea,2022-08-31,22/23,40000000.0,80400000.0
3084550,475411,Wesley Fofana,618,Saint-Étienne,1003,Leicester,2020-02-10,20/21,10000000.0,35000000.0
2718581,475411,Wesley Fofana,8515,Saint-Étienne B,618,Saint-Étienne,2019-01-07,19/20,0.0,0.0
2111215,475411,Wesley Fofana,12745,St-Étienne U19,8515,Saint-Étienne B,2018-01-07,18/19,0.0,0.0
6321941,475411,Wesley Fofana,60860,St-Étienne U17,12745,St-Étienne U19,2017-01-07,17/18,0.0,0.0
6321940,475411,Wesley Fofana,117397,SC Air Bel Jgd.,60860,St-Étienne U17,2015-01-08,15/16,0.0,0.0
5827278,910905,Mamadou Sarr,667,R. Strasbourg,631,Chelsea,2026-02-02,25/26,25000000.0,0.0
5827277,910905,Mamadou Sarr,631,Chelsea,667,R. Strasbourg,2025-01-08,25/26,20000000.0,0.0
5695929,910905,Mamadou Sarr,667,R. Strasbourg,631,Chelsea,2025-09-06,25/26,20000000.0,14000000.0
5217156,910905,Mamadou Sarr,1041,Lyon,667,R. Strasbourg,2024-08-22,24/25,1000000.0,10000000.0
4831143,910905,Mamadou Sarr,54189,RWDM,1041,Lyon,2024-06-30,23/24,1000000.0,0.0
4831142,910905,Mamadou Sarr,1041,Lyon,54189,RWDM,2024-01-18,23/24,1000000.0,0.0
4598297,910905,Mamadou Sarr,12764,Olymp. Lyon B,1041,Lyon,2023-01-07,23/24,1000000.0,0.0
4142837,910905,Mamadou Sarr,7813,Olymp. Lyon U19,12764,Olymp. Lyon B,2022-01-07,22/23,0.0,0.0
5217158,910905,Mamadou Sarr,106295,Olymp. Lyon U17,7813,Olymp. Lyon U19,2021-01-07,21/22,0.0,0.0
3831605,910905,Mamadou Sarr,69570,Ol. Lyon Yth.,106295,Olymp. Lyon U17,2020-01-07,20/21,0.0,0.0
5217157,910905,Mamadou Sarr,100154,Lens Yth.,69570,Ol. Lyon Yth.,2018-01-07,18/19,0.0,0.0
5021382,258878,Tosin Adarabioyo,931,Fulham,631,Chelsea,2024-01-07,24/25,20000000.0,0.0
3089865,258878,Tosin Adarabioyo,9265,Man City U23,931,Fulham,2020-05-10,20/21,2800000.0,1650000.0
2582997,258878,Tosin Adarabioyo,164,Blackburn,9265,Man City U23,2020-07-24,19/20,2800000.0,0.0
2582996,258878,Tosin Adarabioyo,9265,Man City U23,164,Blackburn,2019-07-31,19/20,3500000.0,0.0
2209117,258878,Tosin Adarabioyo,984,West Brom,9265,Man City U23,2019-05-31,18/19,3500000.0,0.0
2209116,258878,Tosin Adarabioyo,9265,Man City U23,984,West Brom,2018-03-08,18/19,1000000.0,0.0
1194498,258878,Tosin Adarabioyo,6930,Man City U18,9265,Man City U21,2016-01-01,15/16,0.0,0.0
3217483,258878,Tosin Adarabioyo,50678,Man City Youth,6930,Man City U18,2014-01-07,14/15,0.0,0.0
5230154,502676,Giorgi Mamardashvili,1049,Valencia,31,Liverpool,2025-06-30,24/25,30000000.0,0.0
5230153,502676,Giorgi Mamardashvili,31,Liverpool,1049,Valencia,2024-08-28,24/25,45000000.0,0.0
